team_id,date,GD,pastgame_GD
8529,2008-11-02 00:00:00,4,1.5
8540,2008-11-02 00:00:00,3,-0.25
8543,2008-11-02 00:00:00,1,-0.25
8551,2008-11-02 00:00:00,1,-0.25
8558,2008-11-02 00:00:00,1,-0.5
8559,2008-11-02 00:00:00,2,-0.25
8564,2008-11-02 00:00:00,1,1.5
8600,2008-11-02 00:00:00,0,1.0
8603,2008-11-02 00:00:00,-3,0.25
9788,2008-11-02 00:00:00,-1,-0.75
9789,2008-11-02 00:00:00,0,0.25
9865,2008-11-02 00:00:00,0,-1.5
9869,2008-11-02 00:00:00,2,2.0
9882,2008-11-02 00:00:00,1,-0.5
10281,2008-11-02 00:00:00,1,-0.25
10252,2008-11-03 00:00:00,-2,0.75
10261,2008-11-03 00:00:00,2,0.5
9904,2008-11-07 00:00:00,-1,-0.25
8722,2008-11-07 00:00:00,1,0.0
8178,2008-11-08 00:00:00,0,1.5
8398,2008-11-08 00:00:00,-3,-1.5
8462,2008-11-08 00:00:00,1,-0.25
8540,2008-11-08 00:00:00,-1,0.0
8559,2008-11-08 00:00:00,1,0.0
8659,2008-11-08 00:00:00,-3,-1.75
8668,2008-11-08 00:00:00,2,1.0
8686,2008-11-08 00:00:00,0,-2.0
8697,2008-11-08 00:00:00,0,0.5
9788,2008-11-08 00:00:00,2,-0.25
9789,2008-11-08 00:00:00,-1,0.0
9864,2008-11-08 00:00:00,-1,-0.5
10194,2008-11-08 00:00:00,0,-0.25
10260,2008-11-08 00:00:00,-1,0.5
10281,2008-11-08 00:00:00,-6,-1.5
8295,2008-11-08 00:00:00,0,-1.75
8472,2008-11-08 00:00:00,-1,-1.5
8528,2008-11-08 00:00:00,0,-1.25
8633,2008-11-08 00:00:00,1,0.75
8634,2008-11-08 00:00:00,6,3.75
8650,2008-11-08 00:00:00,3,1.0
8654,2008-11-08 00:00:00,-2,-1.5
8667,2008-11-08 00:00:00,-1,-0.5
8721,2008-11-08 00:00:00,3,0.5
9790,2008-11-08 00:00:00,1,-0.75
9804,2008-11-08 00:00:00,1,0.0
9825,2008-11-08 00:00:00,1,0.5
9857,2008-11-08 00:00:00,0,-1.75
9911,2008-11-08 00:00:00,0,-1.0
9912,2008-11-08 00:00:00,-2,-1.0
8226,2008-11-09 00:00:00,-1,1.75
8315,2008-11-09 00:00:00,0,-1.25
8455,2008-11-09 00:00:00,2,2.25
8479,2008-11-09 00:00:00,-1,-0.25
8524,2008-11-09 00:00:00,-1,-0.75
8529,2008-11-09 00:00:00,-1,1.0
8549,2008-11-09 00:00:00,1,0.75
8551,2008-11-09 00:00:00,-3,-0.75
8558,2008-11-09 00:00:00,-1,-0.75
8564,2008-11-09 00:00:00,0,0.75
8586,2008-11-09 00:00:00,1,1.0
8600,2008-11-09 00:00:00,-1,0.75
8603,2008-11-09 00:00:00,2,1.0
8690,2008-11-09 00:00:00,-4,-1.5
9823,2008-11-09 00:00:00,1,1.5
9865,2008-11-09 00:00:00,-1,-1.75
9869,2008-11-09 00:00:00,-1,1.25
